Oyster,Genetics/origin,Age,Whole_weight_g,Wet_meat_weight_g,Shell_height_mm,Shell_length_mm,Shell_depth_mm,,,,,,,,,,,,,,,,,,,
1,"Generic, Hawaiin, Blue Starr","5/8"" seed",3.92,0.79,40,24,10,,,,,,,,,,,,,,,,,,,
2,"Generic, Hawaiin, Blue Starr","5/8"" seed",3.39,0.62,35,21,11,,,,,,,,,,,,,,,,,,,
3,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.95,0.58,33,20,11,,,,,,,,,,,,,,,,,,,
4,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.59,0.51,30,28,8,,,,,,,,,,,,,,,,,,,
5,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.11,0.4,29,20,7,,,,,,,,,,,,,,,,,,,
6,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.53,0.47,34,18,10,,,,,,,,,,,,,,,,,,,
7,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.52,0.58,34,20,9,,,,,,,,,,,,,,,,,,,
8,"Generic, Hawaiin, Blue Starr","5/8"" seed",3.41,0.61,31,21,11,,,,,,,,,,,,,,,,,,,
9,"Generic, Hawaiin, Blue Starr","5/8"" seed",3.69,0.64,40,20,11,,,,,,,,,,,,,,,,,,,
10,"Generic, Hawaiin, Blue Starr","5/8"" seed",3.05,0.54,31,25,13,,,,,,,,,,,,,,,,,,,
11,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.79,0.35,26,19,9,,,,,,,,,,,,,,,,,,,
12,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.21,0.4,28,20,11,,,,,,,,,,,,,,,,,,,
13,"Generic, Hawaiin, Blue Starr","5/8"" seed",3.21,0.58,32,21,8,,,,,,,,,,,,,,,,,,,
14,"Generic, Hawaiin, Blue Starr","5/8"" seed",3.29,0.66,37,23,8,,,,,,,,,,,,,,,,,,,
15,"Generic, Hawaiin, Blue Starr","5/8"" seed",3.24,0.66,34,20,10,,,,,,,,,,,,,,,,,,,
16,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.97,0.4,29,22,9,,,,,,,,,,,,,,,,,,,
17,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.21,0.46,28,19,9,,,,,,,,,,,,,,,,,,,
18,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.61,0.3,25,21,9,,,,,,,,,,,,,,,,,,,
19,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.08,0.44,29,19,11,,,,,,,,,,,,,,,,,,,
20,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.12,0.33,30,17,8,,,,,,,,,,,,,,,,,,,
21,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.64,0.25,25,23,8,,,,,,,,,,,,,,,,,,,
22,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.23,0.44,25,20,9,,,,,,,,,,,,,,,,,,,
23,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.33,0.4,27,24,10,,,,,,,,,,,,,,,,,,,
24,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.64,0.32,28,17,9,,,,,,,,,,,,,,,,,,,
25,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.43,0.51,30,19,11,,,,,,,,,,,,,,,,,,,
26,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.57,0.58,32,22,8,,,,,,,,,,,,,,,,,,,
27,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.51,0.46,28,17,10,,,,,,,,,,,,,,,,,,,
28,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.56,0.39,30,21,8,,,,,,,,,,,,,,,,,,,
29,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.87,0.4,32,21,8,,,,,,,,,,,,,,,,,,,
30,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.72,0.26,26,18,8,,,,,,,,,,,,,,,,,,,
31,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.93,0.38,28,20,10,,,,,,,,,,,,,,,,,,,
32,"Generic, Hawaiin, Blue Starr","5/8"" seed",3.23,0.53,33,25,8,,,,,,,,,,,,,,,,,,,
33,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.51,0.54,33,21,12,,,,,,,,,,,,,,,,,,,
34,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.95,0.33,27,19,11,,,,,,,,,,,,,,,,,,,
35,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.68,0.58,33,23,11,,,,,,,,,,,,,,,,,,,
36,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.98,0.38,27,19,9,,,,,,,,,,,,,,,,,,,
37,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.04,0.12,20,18,7,,,,,,,,,,,,,,,,,,,
38,"Generic, Hawaiin, Blue Starr","5/8"" seed",1,0.12,22,16,7,,,,,,,,,,,,,,,,,,,
39,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.02,0.35,25,21,8,,,,,,,,,,,,,,,,,,,
40,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.25,0.19,25,19,7,,,,,,,,,,,,,,,,,,,
41,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.51,0.3,23,19,8,,,,,,,,,,,,,,,,,,,
42,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.28,0.46,33,20,9,,,,,,,,,,,,,,,,,,,
