Date,Site Code,Farm Name,Period,Line,Section,Weight (kg),Weight (kg m-1),Number of Blades
20240506,ROK1,Royal Ocean Kelp,Harvest,1,TOP,2.69,10.76,35
20240506,ROK1,Royal Ocean Kelp,Harvest,1,MIDDLE,1.28,5.12,46
20240506,ROK1,Royal Ocean Kelp,Harvest,1,BOTTOM,0.8,3.2,26
20240506,ROK1,Royal Ocean Kelp,Harvest,2,TOP,2.3,9.2,32
20240506,ROK1,Royal Ocean Kelp,Harvest,2,MIDDLE,1.25,5,36
20240506,ROK1,Royal Ocean Kelp,Harvest,2,BOTTOM,0.95,3.8,20
20240506,ROK1,Royal Ocean Kelp,Harvest,3,TOP,2.05,8.2,33
20240506,ROK1,Royal Ocean Kelp,Harvest,3,MIDDLE,1.5,6,19
20240506,ROK1,Royal Ocean Kelp,Harvest,3,BOTTOM,1.1,4.4,29
20240506,ROK1,Royal Ocean Kelp,Harvest,4,TOP,2.85,11.4,41
20240506,ROK1,Royal Ocean Kelp,Harvest,4,MIDDLE,1.7,6.8,18
20240506,ROK1,Royal Ocean Kelp,Harvest,4,BOTTOM,3.8,15.2,21
20240507,SBR1,Sheep Bay Research Farm,Harvest,1,TOP,0.4,1.6,26
20240507,SBR1,Sheep Bay Research Farm,Harvest,1,MIDDLE,0.25,1,11
20240507,SBR1,Sheep Bay Research Farm,Harvest,1,BOTTOM,< 0.1,<0.4,9
20240507,SBR1,Sheep Bay Research Farm,Harvest,2,TOP,0.6,2.4,22
20240507,SBR1,Sheep Bay Research Farm,Harvest,2,MIDDLE,0.2,0.8,17
20240507,SBR1,Sheep Bay Research Farm,Harvest,2,BOTTOM,< 0.1,<0.4,15
20240507,SBR1,Sheep Bay Research Farm,Harvest,3,TOP,0.55,2.2,20
20240507,SBR1,Sheep Bay Research Farm,Harvest,3,MIDDLE,0.2,0.8,22
20240507,SBR1,Sheep Bay Research Farm,Harvest,3,BOTTOM,< 0.1,<0.4,21
20240507,SBR1,Sheep Bay Research Farm,Harvest,4,TOP,0.35,1.4,19
20240507,SBR1,Sheep Bay Research Farm,Harvest,4,MIDDLE,0.15,0.6,27
20240507,SBR1,Sheep Bay Research Farm,Harvest,4,BOTTOM,0.1,0.4,9
20240510,SBO1,,Harvest,1,TOP,0.35,1.4,32
20240510,SBO1,,Harvest,1,MIDDLE,0.25,1,22
20240510,SBO1,,Harvest,1,BOTTOM,0,0,0
20240510,SBO1,,Harvest,2,TOP,0.3,1.2,36
20240510,SBO1,,Harvest,2,MIDDLE,0.25,1,33
20240510,SBO1,,Harvest,2,BOTTOM,0,0,0
20240510,SBO1,,Harvest,3,TOP,0.45,1.8,34
20240510,SBO1,,Harvest,3,MIDDLE,0.35,1.4,35
20240510,SBO1,,Harvest,3,BOTTOM,0,0,8
20240510,SBO1,,Harvest,4,TOP,0.3,1.2,34
