SIN,Project,BagID,DateColl,Region,Location,Latitude,Longitude,SpeciesBio,TissueBio,Length,Weight,d15N,d13C,percentC,percentN,BombED_Dry,LifeStage,commentsCust,SampleCat
459000,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,61,3.769999981,8.600820541,-20.39346313,44.03104019,7.973619461,18.28000069,subadult,Blue Starr Oyster Farm,T0
459001,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,63,6.760000229,9.010705948,-19.73894119,45.13556671,8.661522865,18.81999969,subadult,Blue Starr Oyster Farm,T0
459002,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,44,2.150000095,8.861731529,-19.73064804,44.3955307,8.022642136,18.44000053,subadult,Blue Starr Oyster Farm,T0
459003,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,56,2.289999962,8.88742733,-20.11584854,43.47022247,8.263679504,18.87999916,subadult,Blue Starr Oyster Farm,T0
459004,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,56,2.289999962,8.944895744,-19.92741776,43.47047424,7.856768608,18.05999947,subadult,Blue Starr Oyster Farm,T0
459005,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,51,2.220000029,8.902669907,-20.13720894,43.53426743,7.859946728,15.63000011,subadult,Blue Starr Oyster Farm,T0
459006,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,73,3.099999905,8.674654961,-20.52435303,44.40275192,7.983008862,18.42000008,subadult,Blue Starr Oyster Farm,T0
459007,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,60,3.210000038,9.030568123,-20.02649689,42.05847549,7.692936897,18.46999931,subadult,Blue Starr Oyster Farm,T0
459008,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,58,2.880000114,9.343690872,-19.50160027,44.42061615,8.475863457,19.43000031,subadult,Blue Starr Oyster Farm,T0
459009,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,59,4.5,8.913087845,-20.29501724,43.02153397,7.70622015,18.44000053,subadult,Blue Starr Oyster Farm,T0
459010,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,65,3.74000001,9.202566147,-20.104105,42.71888733,7.309307575,12.93999958,subadult,Blue Starr Oyster Farm,T0
459011,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,60,2.99000001,9.232463837,-19.94964981,42.8548851,8.891757011,17.17000008,subadult,Blue Starr Oyster Farm,T0
459012,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,81,4.449999809,8.699077606,-19.76377106,42.49990463,7.303010941,17.93000031,subadult,Blue Starr Oyster Farm,T0
459013,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,60,3.200000048,8.759008408,-20.58753967,42.22423172,7.973205566,18.27000046,subadult,Blue Starr Oyster Farm,T0
459014,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,64,3.809999943,9.213511467,-20.10396576,42.44829178,7.610334396,18.80999947,subadult,Blue Starr Oyster Farm,T0
459015,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,72,4.670000076,8.357821465,-20.21974945,43.74887085,8.112136841,17.70999908,subadult,Blue Starr Oyster Farm,T0
459016,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,55,2.829999924,8.715825081,-20.32070541,43.09057236,7.87404871,17.80999947,subadult,Blue Starr Oyster Farm,T0
459017,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,53,2.5,8.785373688,-19.7034359,40.91457748,7.33062458,18.44000053,subadult,Blue Starr Oyster Farm,T0
459018,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,56,2.369999886,8.793995857,-20.73945999,41.78419113,7.277462482,18.39999962,subadult,Blue Starr Oyster Farm,T0
459019,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,63,2.920000076,8.556530952,-20.36400414,42.43641663,7.578519821,18.29000092,subadult,Blue Starr Oyster Farm,T0
459020,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,68,2.690000057,8.743267059,-20.17532158,41.86312103,7.299199104,15.97000027,subadult,Blue Starr Oyster Farm,T0
459021,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,77,5.650000095,9.293982506,-19.98276901,40.18133545,7.675113201,19.62000084,subadult,Blue Starr Oyster Farm,T0
459022,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,73,3.49000001,8.76322937,-19.78007317,39.52100754,7.020112038,18.53630066,subadult,Blue Starr Oyster Farm,T0
459023,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,44,2.220000029,8.739323616,-19.91613197,40.93744659,6.877638817,18.78370094,subadult,Blue Starr Oyster Farm,T0
459024,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,53,2.779999971,8.957522392,-20.45529938,41.35602188,7.620115757,16.6753006,subadult,Blue Starr Oyster Farm,T0
459025,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,60,2.609999895,9.079890251,-20.42689514,41.00682449,6.590831757,18.62280083,subadult,Blue Starr Oyster Farm,T0
459026,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,59,1.789999962,8.947381973,-19.03023911,37.94940186,7.585163116,16.29910088,subadult,Blue Starr Oyster Farm,T0
459027,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,46,2.130000114,9.308065414,-19.80952072,38.47180557,6.62075758,17.54949951,subadult,Blue Starr Oyster Farm,T0
459028,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,55,2.230000019,8.442282677,-19.91440773,39.13128281,7.142625809,19.4178009,subadult,Blue Starr Oyster Farm,T0
459029,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,46,1.99000001,8.664142609,-19.80854988,37.6700592,6.584748268,19.10720062,subadult,Blue Starr Oyster Farm,T0
459030,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,53,2.539999962,8.706242561,-20.76900482,39.88267899,6.561294079,18.83029938,subadult,Blue Starr Oyster Farm,T0
459031,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,48,2.660000086,9.144323349,-20.24154282,38.46178055,6.695590973,19.22120094,subadult,Blue Starr Oyster Farm,T0
459032,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,61,3.920000076,8.440958977,-20.23790932,37.38695145,6.469876289,18.9673996,subadult,Blue Starr Oyster Farm,T0
459033,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,72,4.559999943,8.474730492,-20.41120148,37.17511749,6.006376266,17.96820068,subadult,Blue Starr Oyster Farm,T0
459034,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,62,4.699999809,8.815213203,-21.97497749,45.07042694,7.283610344,18.51989937,subadult,Blue Starr Oyster Farm,T0
459035,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,65,2.50999999,8.037532806,-21.07670021,42.63802719,7.33336401,19.10759926,subadult,Blue Starr Oyster Farm,T0
459036,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,51,2.410000086,8.471754074,-20.42305946,43.56668091,7.438384533,18.84079933,subadult,Blue Starr Oyster Farm,T0
459037,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,54,2.25999999,8.689380646,-21.17127991,41.86687088,7.841502666,18.64990044,subadult,Blue Starr Oyster Farm,T0
459038,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,53,2.980000019,8.654660225,-19.69238663,42.03206253,7.092189789,19.08009911,subadult,Blue Starr Oyster Farm,T0
459039,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,68,4.429999828,8.400497437,-19.76849937,41.38744736,7.30798769,19.02499962,subadult,Blue Starr Oyster Farm,T0
459040,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,49,3.569999933,9.032574654,-19.80674362,43.27129745,7.754798889,18.59320068,subadult,Blue Starr Oyster Farm,T0
459041,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,58,2.00999999,8.767222404,-18.88393593,39.6562233,7.512209415,17.89929962,subadult,Blue Starr Oyster Farm,T0
459042,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,59,3.579999924,8.95181942,-19.64003563,43.53166199,6.768708706,18.65909958,subadult,Blue Starr Oyster Farm,T0
459043,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,66,2.700000048,8.71214962,-20.37945175,41.45647049,6.616740227,18.4477005,subadult,Blue Starr Oyster Farm,T0
459044,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,76,3.849999905,8.963650703,-19.71532249,42.95607758,7.713471413,18.66279984,subadult,Blue Starr Oyster Farm,T0
459050,EVOS Production,EVOSprod-oyster-subadult_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,60,2.069999933,8.662532806,-20.26827621,42.4389534,7.449747562,18.73999977,subadult,Blue Starr Oyster Farm,T0
459053,EVOS Production,EVOSprod-oyster-juv_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,28.60000038,0.451999992,8.825855255,-19.35489464,41.50091171,7.40685606,17.46999931,juvenile,Blue Starr Oyster Farm,T0
459054,EVOS Production,EVOSprod-oyster-juv_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,26.60000038,0.35800001,8.793711662,-18.98859406,41.60873413,7.478765965,18.09000015,juvenile,Blue Starr Oyster Farm,T0
459055,EVOS Production,EVOSprod-oyster-juv_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,24.79999924,0.25,8.871511459,-18.93071747,43.08606339,8.535633087,15.92000008,juvenile,Blue Starr Oyster Farm,T0
