Oyster,Age,Genetics/origin,Whole weight (g),Wet meat weight (g),Shell height (mm),Shell length (mm),Shell depth (mm)
1,Sub adult,"Generic, Hawaiin, Blue Starr",22.21,3.77,61,36,21
2,Sub adult,"Generic, Hawaiin, Blue Starr",19.16,6.76,63,32,18
3,Sub adult,"Generic, Hawaiin, Blue Starr",15.9,2.15,44,32,17
4,Sub adult,"Generic, Hawaiin, Blue Starr",18.71,2.29,56,40,11
5,Sub adult,"Generic, Hawaiin, Blue Starr",13.15,2.29,56,31,14
6,Sub adult,"Generic, Hawaiin, Blue Starr",15.2,2.22,51,32,18
7,Sub adult,"Generic, Hawaiin, Blue Starr",22.5,3.1,73,44,19
8,Sub adult,"Generic, Hawaiin, Blue Starr",19.7,3.21,60,37,19
9,Sub adult,"Generic, Hawaiin, Blue Starr",19.05,2.88,58,37,16
10,Sub adult,"Generic, Hawaiin, Blue Starr",26.2,4.5,59,35,21
11,Sub adult,"Generic, Hawaiin, Blue Starr",22.09,3.74,65,37,19
12,Sub adult,"Generic, Hawaiin, Blue Starr",22.95,2.99,60,38,24
13,Sub adult,"Generic, Hawaiin, Blue Starr",31.96,4.45,81,39,19
14,Sub adult,"Generic, Hawaiin, Blue Starr",20.02,3.2,60,38,22
15,Sub adult,"Generic, Hawaiin, Blue Starr",26.56,3.81,64,35,24
16,Sub adult,"Generic, Hawaiin, Blue Starr",27.08,4.67,72,39,23
17,Sub adult,"Generic, Hawaiin, Blue Starr",13.99,2.83,55,33,15
18,Sub adult,"Generic, Hawaiin, Blue Starr",16.45,2.5,53,32,17
19,Sub adult,"Generic, Hawaiin, Blue Starr",17.1,2.37,56,41,18
20,Sub adult,"Generic, Hawaiin, Blue Starr",23.25,2.92,63,34,19
21,Sub adult,"Generic, Hawaiin, Blue Starr",20.08,2.69,68,34,20
22,Sub adult,"Generic, Hawaiin, Blue Starr",30.7,5.65,77,44,22
23,Sub adult,"Generic, Hawaiin, Blue Starr",20.8,3.49,73,34,19
24,Sub adult,"Generic, Hawaiin, Blue Starr",10.56,2.22,44,33,15
25,Sub adult,"Generic, Hawaiin, Blue Starr",16.93,2.78,53,39,18
26,Sub adult,"Generic, Hawaiin, Blue Starr",14.11,2.61,60,32,14
27,Sub adult,"Generic, Hawaiin, Blue Starr",13.96,1.79,59,32,17
28,Sub adult,"Generic, Hawaiin, Blue Starr",14.23,2.13,46,41,17
29,Sub adult,"Generic, Hawaiin, Blue Starr",18.35,2.23,55,40,18
30,Sub adult,"Generic, Hawaiin, Blue Starr",16.43,1.99,46,32,22
31,Sub adult,"Generic, Hawaiin, Blue Starr",13.05,2.54,53,30,13
32,Sub adult,"Generic, Hawaiin, Blue Starr",14.05,2.66,48,37,18
33,Sub adult,"Generic, Hawaiin, Blue Starr",27.89,3.92,61,40,26
34,Sub adult,"Generic, Hawaiin, Blue Starr",23.59,4.56,72,34,17
35,Sub adult,"Generic, Hawaiin, Blue Starr",23.86,4.7,62,35,24
36,Sub adult,"Generic, Hawaiin, Blue Starr",19.52,2.51,65,33,16
37,Sub adult,"Generic, Hawaiin, Blue Starr",14.68,2.41,51,34,14
38,Sub adult,"Generic, Hawaiin, Blue Starr",19.38,2.26,54,30,21
39,Sub adult,"Generic, Hawaiin, Blue Starr",17.96,2.98,53,33,20
40,Sub adult,"Generic, Hawaiin, Blue Starr",28.03,4.43,68,41,24
41,Sub adult,"Generic, Hawaiin, Blue Starr",19.58,3.57,49,34,23
42,Sub adult,"Generic, Hawaiin, Blue Starr",14.79,2.01,58,35,17
43,Sub adult,"Generic, Hawaiin, Blue Starr",23.35,3.58,59,45,24
44,Sub adult,"Generic, Hawaiin, Blue Starr",18.2,2.7,66,35,16
45,Sub adult,"Generic, Hawaiin, Blue Starr",23.77,3.85,76,35,18
46,Sub adult,"Generic, Hawaiin, Blue Starr",20.69,3.69,51,37,23
47,Sub adult,"Generic, Hawaiin, Blue Starr",24.34,4.01,65,42,21
48,Sub adult,"Generic, Hawaiin, Blue Starr",20.69,3.58,61,51,17
49,Sub adult,"Generic, Hawaiin, Blue Starr",20.94,2.86,69,33,25
50,Sub adult,"Generic, Hawaiin, Blue Starr",23.78,4.15,70,35,17
51,Sub adult,"Generic, Hawaiin, Blue Starr",12.66,2.07,60,37,15
52,Sub adult,"Generic, Hawaiin, Blue Starr",12.68,1.48,54,32,13
53,Sub adult,"Generic, Hawaiin, Blue Starr",14.1,2.51,46,33,20
54,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
55,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
56,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
57,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
58,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
59,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
60,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
61,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
62,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
63,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
64,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
65,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
66,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
67,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
68,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
69,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
70,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
71,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
72,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
73,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
74,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
75,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
76,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
77,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
78,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
79,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
80,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
81,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
82,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
83,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
84,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
85,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
86,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
87,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
88,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
89,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
90,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
91,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
92,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
93,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
94,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
95,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
96,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
97,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
98,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
99,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
100,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
101,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
102,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
103,Sub adult,"Generic, Hawaiin, Blue Starr",,,,,
